,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
count,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
mean,1238.5185,0.495,1.52225,0.5095,4.3095,0.5215,32.0465,0.50175,140.249,4.5205,9.9165,645.108,1251.5155,2124.213,12.3065,5.767,11.011,0.7615,0.503,0.507,1.5
std,439.41820608353135,0.5001000400170075,0.8160042088950689,0.500034766175005,4.341443747983894,0.49966246736236386,18.145714955206856,0.2884155496235117,35.39965489638835,2.2878367180426604,6.06431494134778,443.7808108064386,432.19944694633796,1084.7320436099494,4.213245004356306,4.3563976058264045,5.463955197766688,0.42627292231873126,0.500116044562674,0.5000760322381083,1.118313602106461
min,501.0,0.0,0.5,0.0,0.0,0.0,2.0,0.1,80.0,1.0,0.0,0.0,500.0,256.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
20%,781.0,0.0,0.5,0.0,0.0,0.0,13.0,0.2,103.0,2.0,4.0,225.8,806.8,1016.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0
40%,1076.0,0.0,1.2,0.0,2.0,0.0,25.0,0.4,128.0,4.0,8.0,442.0,1102.2,1742.6,11.0,4.0,9.0,1.0,0.0,0.0,1.0
50%,1226.0,0.0,1.5,1.0,3.0,1.0,32.0,0.5,141.0,4.0,10.0,564.0,1247.0,2146.5,12.0,5.0,11.0,1.0,1.0,1.0,1.5
60%,1395.3999999999999,1.0,1.8,1.0,4.0,1.0,38.0,0.6,153.0,5.0,12.0,690.3999999999999,1393.0,2485.2,14.0,6.0,13.0,1.0,1.0,1.0,2.0
80%,1698.2,1.0,2.4,1.0,8.0,1.0,51.0,0.8,178.0,7.0,16.0,1050.4,1704.2,3256.6000000000004,17.0,10.0,17.0,1.0,1.0,1.0,3.0
max,1998.0,1.0,3.0,1.0,19.0,1.0,64.0,1.0,200.0,8.0,20.0,1960.0,1998.0,3998.0,19.0,18.0,20.0,1.0,1.0,1.0,3.0
